,Am,Ba,EE,Ex,Op,Pl,Sr,sr,Za,
OG5_127807,29,96,15,14,22,31,76,0,31,
OG5_132704,13,0,3,1,12,1,28,0,0,
OG5_132132,27,37,12,2,2,8,25,0,0,
OG5_130409,21,0,11,11,7,16,79,0,0,
OG5_141451,51,0,19,7,7,22,54,0,0,
OG5_128711,48,311,36,14,27,17,128,0,23,
OG5_141795,15,0,1,0,6,2,24,0,0,
OG5_129892,25,0,15,4,17,15,44,0,0,
OG5_127243,24,288,25,10,13,9,75,0,46,
OG5_130815,16,0,4,2,23,1,40,0,2,
OG5_133941,49,0,9,1,9,3,37,0,0,
OG5_160211,3,8,5,0,3,15,26,0,0,
OG5_128139,22,203,17,7,27,0,18,0,15,
OG5_127321,86,3,42,21,41,31,224,0,5,
OG5_129847,22,0,18,9,8,33,112,0,0,
OG5_129844,64,179,25,15,20,9,149,0,0,
OG5_132721,2,0,17,12,6,10,86,0,0,
OG5_127679,68,0,32,16,29,43,175,0,11,
OG5_136344,79,8,39,8,15,39,131,0,0,
OG5_129534,43,6,27,10,10,18,112,0,2,
OG5_139201,8,0,2,0,5,0,70,0,0,
OG5_129531,41,5,20,5,24,19,76,0,0,
OG5_129196,59,2,34,13,25,39,147,0,0,
OG5_129741,54,0,28,8,17,40,106,0,0,
OG5_129210,11,0,11,6,21,32,63,0,0,
OG5_126745,58,488,30,18,34,39,151,0,94,
OG5_141126,12,134,12,2,4,8,38,0,6,
OG5_141124,5,0,2,0,1,11,3,0,0,
OG5_128227,38,2,12,10,28,28,110,0,0,
OG5_127386,53,0,35,13,33,38,164,0,0,
OG5_133714,38,0,3,2,5,0,41,0,0,
OG5_126892,14,493,17,3,21,19,86,0,87,
OG5_126893,78,311,39,12,34,43,218,0,69,
OG5_129327,19,151,10,5,21,35,72,0,23,
OG5_131402,22,0,11,8,9,24,73,0,0,
OG5_127341,25,1,2,12,13,19,63,0,0,
OG5_134164,13,0,12,6,5,6,61,0,0,
OG5_127024,55,115,31,17,32,36,190,0,1,
OG5_128730,50,0,30,11,24,35,133,0,0,
OG5_129539,32,1,20,8,20,15,66,0,0,
OG5_127976,22,0,44,14,13,26,181,0,0,
OG5_127978,32,0,23,9,23,28,129,0,0,
OG5_139157,52,2,15,13,12,23,146,0,0,
OG5_128089,56,26,32,16,31,39,145,0,8,
OG5_136605,56,0,16,8,8,0,23,0,0,
OG5_131852,31,0,15,7,14,43,100,0,0,
OG5_133621,34,17,38,11,21,25,104,0,1,
OG5_130661,17,0,12,7,24,23,55,0,0,
OG5_127505,43,376,20,11,19,21,70,0,54,
OG5_131244,21,198,31,9,7,34,122,0,23,
OG5_133848,27,1,9,3,4,10,17,0,3,
OG5_128761,48,216,10,8,20,23,57,0,51,
OG5_132862,70,0,6,3,17,3,24,0,0,
OG5_127234,56,335,21,16,26,39,95,0,53,
OG5_127725,13,485,8,0,21,15,42,0,77,
OG5_126685,60,316,42,21,36,49,204,0,58,
OG5_126636,60,518,25,17,34,41,116,0,11,
OG5_127487,80,12,41,12,33,50,170,0,0,
OG5_138383,3,0,2,1,8,3,6,0,0,
OG5_132670,53,0,21,8,16,18,76,0,0,
OG5_132500,1,503,1,0,1,0,1,0,7,
OG5_128128,60,0,36,17,27,33,159,0,0,
OG5_133365,2,2,25,4,0,24,153,0,0,
OG5_136330,24,0,4,2,11,2,60,0,0,
OG5_129569,13,411,8,2,13,14,55,0,0,
OG5_137243,18,0,4,1,10,19,31,0,0,
OG5_127155,53,0,31,13,29,34,136,0,91,
OG5_127150,51,6,24,6,8,15,67,0,0,
OG5_127653,44,0,17,18,29,30,107,0,53,
OG5_135967,15,56,11,4,19,3,30,0,1,
OG5_127656,20,464,23,5,19,27,97,0,80,
OG5_129809,46,0,31,5,24,31,69,0,0,
OG5_130927,33,0,4,5,23,13,7,0,0,
OG5_132540,26,1,11,3,13,11,39,0,0,
OG5_129960,22,0,11,6,14,21,17,0,0,
OG5_129963,30,0,11,4,26,16,44,0,0,
OG5_130287,6,394,5,0,13,14,33,0,1,
OG5_130284,54,13,16,8,16,5,92,0,0,
OG5_128841,59,2,19,15,32,28,83,0,0,
OG5_127859,67,0,23,15,21,31,138,0,0,
OG5_132164,13,0,9,2,9,16,35,0,0,
OG5_132166,10,0,11,1,19,4,34,0,0,
OG5_129706,62,2,29,14,19,32,70,0,0,
OG5_126704,41,473,38,14,35,42,146,0,4,
OG5_126707,60,2,21,15,25,40,148,0,0,
OG5_137435,44,0,23,7,8,3,16,0,0,
OG5_146796,44,72,7,5,5,2,47,0,0,
OG5_130829,18,3,17,14,12,15,66,0,5,
OG5_135833,17,14,3,4,1,1,16,0,0,
OG5_128146,45,381,22,2,11,27,103,0,60,
OG5_176383,2,2,10,2,1,8,26,0,0,
OG5_146491,12,0,8,6,4,4,26,0,0,
OG5_131104,40,12,19,15,24,17,88,0,0,
OG5_128548,31,0,16,9,24,27,81,0,0,
OG5_129362,81,12,43,17,31,26,119,0,0,
OG5_130854,30,0,19,8,17,17,67,0,0,
OG5_129818,25,9,9,5,19,14,33,0,0,
OG5_129401,7,220,2,6,10,13,26,0,45,
OG5_129144,30,0,16,9,22,23,59,0,0,
OG5_128319,40,0,31,14,21,32,159,0,0,
OG5_136059,44,62,7,10,15,9,67,0,3,
OG5_143075,9,0,8,0,1,17,86,0,0,
OG5_132675,18,0,5,4,8,8,20,0,0,
OG5_128837,20,124,5,7,27,1,47,0,19,
OG5_155753,43,12,26,10,10,25,85,0,0,
OG5_127455,68,0,35,18,32,39,162,0,83,
OG5_133663,4,3,10,1,4,6,55,0,13,
OG5_127825,37,223,17,13,14,5,85,0,30,
OG5_131619,12,0,10,2,11,11,25,0,0,
OG5_127275,27,463,30,2,17,44,109,0,83,
OG5_134400,59,0,11,6,11,0,24,0,0,
OG5_129032,21,0,17,7,16,24,73,0,0,
OG5_149839,39,0,10,2,0,17,9,0,0,
OG5_129130,24,0,12,4,21,16,49,0,0,
OG5_127927,72,256,36,25,48,49,210,0,25,
OG5_132234,41,223,17,5,5,7,32,0,39,
OG5_144453,3,2,1,2,1,30,43,0,0,
OG5_147684,34,0,8,4,9,1,27,0,0,
OG5_128923,34,0,28,8,28,25,76,0,0,
OG5_142673,1,118,0,1,0,0,0,0,14,
OG5_127477,5,128,10,2,16,17,112,0,0,
OG5_147095,22,2,7,4,3,1,19,0,0,
OG5_127472,37,0,28,15,33,36,153,0,94,
OG5_153081,44,0,19,7,7,9,97,0,2,
OG5_128033,34,0,19,12,24,31,84,0,0,
OG5_152255,1,0,0,0,0,5,1,0,0,
OG5_144954,2,178,6,0,0,22,15,0,0,
OG5_127059,73,0,36,18,30,40,162,0,0,
OG5_144950,29,0,10,0,8,17,136,0,0,
OG5_127615,58,0,34,11,28,36,157,0,0,
OG5_130786,45,0,34,6,14,34,79,0,0,
OG5_127399,41,22,10,4,19,3,60,0,3,
OG5_126823,38,229,26,8,36,38,172,0,14,
OG5_127819,51,0,26,17,29,31,135,0,14,
OG5_128027,26,0,34,15,26,39,58,0,0,
OG5_127812,46,0,18,12,32,31,123,0,1,
OG5_128848,17,0,11,3,22,11,48,0,0,
OG5_132820,32,33,18,12,12,18,88,0,6,
OG5_140428,5,0,3,1,6,8,17,0,0,
OG5_128727,49,0,31,15,18,43,111,0,0,
OG5_128729,51,167,35,13,25,23,151,0,36,
OG5_127684,44,0,21,15,31,27,128,0,75,
OG5_127680,32,508,6,6,25,20,78,0,2,
OG5_135081,2,64,0,1,0,0,1,0,8,
OG5_128459,62,0,26,11,30,27,121,0,0,
OG5_127204,37,291,35,3,20,43,132,0,72,
OG5_128515,22,0,17,6,22,25,50,0,0,
OG5_128452,44,28,13,10,33,33,78,0,0,
OG5_128519,9,0,6,7,19,24,51,0,0,
OG5_128104,41,0,25,12,20,39,134,0,0,
OG5_128106,24,1,11,10,26,22,80,0,0,
OG5_127791,67,0,42,17,35,47,179,0,9,
OG5_126994,40,106,38,14,30,39,178,0,0,
OG5_129855,56,0,29,15,19,21,126,0,0,
OG5_130916,56,0,19,7,10,1,108,0,0,
OG5_128585,16,0,13,10,23,31,25,0,0,
OG5_128859,36,0,17,11,24,26,103,0,1,
OG5_129778,34,0,19,7,20,24,64,0,0,
OG5_134377,27,0,22,8,0,4,59,0,0,
OG5_129673,46,0,21,4,21,24,79,0,0,
OG5_126753,61,87,32,26,23,44,118,0,1,
OG5_171707,2,46,1,0,1,0,0,0,7,
OG5_128351,27,0,11,4,31,21,88,0,0,
OG5_176039,7,0,2,1,3,1,39,0,0,
OG5_128214,37,0,43,18,21,17,181,0,0,
OG5_129516,33,151,13,13,22,15,55,0,22,
OG5_132272,29,0,13,6,14,12,63,0,0,
OG5_133056,16,0,5,1,3,10,29,0,0,
OG5_126887,26,483,36,11,28,48,164,0,58,
OG5_126968,68,405,44,23,30,50,199,0,60,
OG5_147285,24,0,29,1,5,5,91,0,0,
OG5_127044,58,0,41,10,27,46,186,0,0,
OG5_129296,21,166,12,3,13,7,69,0,0,
OG5_129295,35,175,19,12,19,20,42,0,13,
OG5_129298,41,0,17,4,23,24,52,0,0,
OG5_127407,49,0,21,20,36,29,134,0,72,
OG5_127334,18,425,16,10,26,22,100,0,48,
OG5_129075,55,3,25,11,28,32,110,0,0,
OG5_127408,48,1,28,12,27,28,118,0,0,
OG5_150382,22,0,5,5,4,16,90,0,0,
OG5_135874,56,0,17,9,5,6,68,0,0,
OG5_136029,6,0,22,14,9,22,125,0,0,
OG5_135564,31,0,3,0,8,13,5,0,0,
OG5_131923,22,18,10,5,6,4,58,0,0,
OG5_168762,9,15,5,1,1,0,34,0,0,
OG5_130172,36,151,3,8,19,5,24,0,10,
OG5_131488,11,0,9,1,8,9,10,0,0,
OG5_130400,54,0,7,8,9,1,32,0,0,
OG5_133758,32,0,9,9,14,11,42,0,0,
OG5_132372,30,1,13,5,10,15,52,0,0,
OG5_130177,13,0,7,5,14,25,87,0,0,
OG5_131848,13,0,17,5,9,4,46,0,0,
OG5_133753,9,146,12,10,4,8,46,0,29,
OG5_130773,21,0,5,3,24,1,6,0,0,
OG5_127533,30,228,15,13,27,5,42,0,50,
OG5_133610,20,6,4,5,9,11,16,0,0,
OG5_126975,26,2,31,16,30,36,143,0,0,
OG5_129187,43,109,20,13,29,20,111,0,8,
OG5_134276,37,1,18,1,3,10,83,0,0,
OG5_130055,43,0,32,4,20,29,124,0,0,
OG5_127711,54,0,39,13,31,31,158,0,94,
OG5_127715,9,452,30,11,17,41,109,0,93,
OG5_126621,55,107,38,13,25,41,146,0,28,
OG5_127495,33,0,30,16,31,45,134,0,0,
OG5_129000,31,2,27,15,22,22,92,0,0,
OG5_138766,13,6,6,4,9,10,49,0,0,
OG5_142885,13,0,11,3,13,23,32,0,0,
OG5_130512,35,0,13,11,15,6,51,0,0,
OG5_131579,20,0,8,2,21,2,11,0,0,
OG5_141206,53,0,17,4,6,0,44,0,0,
OG5_143885,2,0,4,5,6,2,11,0,0,
OG5_130519,14,0,6,2,0,9,41,0,0,
OG5_128412,66,0,28,18,31,33,129,0,0,
OG5_145286,7,0,8,3,3,3,48,0,0,
OG5_130225,24,0,6,7,12,3,52,0,93,
OG5_141372,2,0,1,0,2,0,2,0,0,
OG5_129559,22,23,4,9,18,19,58,0,0,
OG5_128786,19,0,13,4,27,22,60,0,0,
OG5_127147,37,411,31,11,19,34,125,0,62,
OG5_127421,30,17,16,7,24,21,90,0,0,
OG5_127669,44,238,26,13,22,39,135,0,35,
OG5_132880,22,54,10,5,7,12,74,0,46,
OG5_142217,7,0,10,11,0,3,66,0,0,
OG5_150140,39,14,26,9,13,11,118,0,0,
OG5_135951,1,78,5,1,3,7,26,0,8,
OG5_127394,35,75,23,16,19,26,81,0,1,
OG5_128898,45,0,25,14,22,33,128,0,0,
OG5_130958,35,10,31,7,6,28,94,0,0,
OG5_130959,20,0,13,4,10,9,34,0,14,
OG5_127822,43,0,33,15,32,39,145,0,0,
OG5_130351,18,10,8,8,11,17,21,0,1,
OG5_130352,20,0,7,11,15,33,21,0,0,
OG5_130421,42,13,22,9,8,17,96,0,0,
OG5_126698,87,506,45,26,44,57,230,0,92,
OG5_127828,69,74,46,21,40,52,205,0,25,
OG5_129300,37,86,10,6,16,12,53,0,7,
OG5_128383,31,0,13,13,22,30,49,0,1,
OG5_129046,30,425,27,1,15,32,81,0,52,
OG5_128251,56,0,37,14,25,38,167,0,0,
OG5_128254,53,0,36,21,27,39,187,0,0,
OG5_127891,72,0,44,23,34,46,187,0,0,
OG5_128098,45,0,16,13,30,29,99,0,0,
OG5_126926,41,77,34,21,40,33,177,0,92,
OG5_128154,45,0,10,9,17,8,117,0,0,
OG5_126842,57,492,33,20,38,42,155,0,88,
OG5_130831,49,0,12,2,17,27,60,0,0,
OG5_129788,43,0,13,3,17,34,93,0,0,
OG5_155811,14,20,4,7,6,3,28,0,0,
OG5_139346,35,0,16,12,4,4,44,0,0,
OG5_128558,38,0,27,9,31,30,143,0,0,
OG5_128801,35,5,15,13,27,12,73,0,0,
OG5_142180,34,0,3,0,3,1,0,0,0,
OG5_139260,1,86,0,0,0,0,0,0,42,
OG5_131731,31,0,9,0,18,0,49,0,0,
OG5_139124,8,0,2,2,5,1,30,0,0,
OG5_136065,18,114,0,3,8,1,5,0,2,
OG5_129602,30,2,15,6,25,29,95,0,0,
OG5_126762,75,393,43,18,32,49,217,0,42,
OG5_126763,67,399,25,8,33,25,130,0,77,
OG5_128326,44,0,18,5,13,29,128,0,0,
OG5_128321,35,0,15,12,28,23,111,0,0,
OG5_134703,3,146,2,1,7,2,25,0,13,
OG5_139141,21,28,27,12,0,21,42,0,0,
OG5_127554,24,463,21,9,23,27,95,0,12,
OG5_129059,57,4,32,17,20,39,161,0,0,
OG5_131232,55,0,29,9,19,26,37,0,0,
OG5_130733,41,0,18,9,13,20,50,0,0,
OG5_147391,7,26,2,1,6,2,7,0,0,
OG5_144118,16,0,12,3,0,30,78,0,0,
OG5_127369,29,0,22,11,30,28,115,0,88,
OG5_135122,26,38,8,4,9,5,48,0,0,
OG5_127366,53,20,35,14,28,46,151,0,0,
OG5_134144,5,0,3,1,7,5,8,0,0,
OG5_127045,35,506,21,14,31,26,135,0,59,
OG5_138336,34,3,14,6,9,7,39,0,0,
OG5_127890,52,0,32,17,30,36,130,0,0,
OG5_130492,11,0,15,10,12,15,96,0,0,
OG5_127598,33,0,13,16,30,30,115,0,84,
OG5_130085,54,0,24,10,15,11,68,0,0,
OG5_128907,14,0,1,1,2,0,2,0,0,
OG5_137697,30,0,15,9,15,20,98,0,0,
OG5_133882,18,0,10,2,4,5,49,0,0,
OG5_131308,60,0,20,8,7,13,8,0,0,
OG5_131309,18,0,12,2,21,17,97,0,0,
OG5_140214,9,85,0,2,3,0,0,0,33,
OG5_127788,56,13,2,3,29,0,18,0,0,
OG5_130300,61,8,44,25,20,25,156,0,0,
OG5_133908,11,7,3,0,5,2,6,0,0,
OG5_132844,32,0,11,0,11,17,16,0,0,
OG5_127622,64,0,31,14,32,36,162,0,79,
OG5_141223,21,1,7,4,2,3,92,0,0,
OG5_127211,31,364,21,11,25,27,146,0,24,
OG5_127213,55,0,27,16,31,34,133,0,0,
OG5_129648,36,1,12,16,18,27,95,0,0,
OG5_138609,40,0,5,5,17,0,15,0,0,
OG5_163156,1,1,0,0,3,0,3,0,7,
OG5_126583,67,199,38,16,40,39,205,0,54,
OG5_149720,4,3,2,0,7,5,8,0,57,
OG5_132117,5,0,8,2,11,0,4,0,0,
OG5_130394,26,0,6,5,9,0,28,0,0,
OG5_127869,58,0,32,18,30,39,174,0,0,
OG5_132830,16,88,4,5,6,6,17,0,3,
OG5_128636,18,0,27,4,22,25,119,0,0,
OG5_132752,11,7,21,2,12,21,65,0,0,
OG5_132682,9,0,6,3,9,6,33,0,0,
OG5_130014,4,274,0,0,5,2,5,0,38,
OG5_128632,47,124,33,15,32,35,122,0,3,
OG5_129466,72,0,45,18,20,36,180,0,5,
OG5_128297,18,0,8,12,24,19,73,0,2,
OG5_128298,37,6,14,10,26,25,99,0,0,
OG5_131700,64,0,3,3,14,1,2,0,0,
OG5_126804,11,0,13,13,6,15,86,0,0,
OG5_126803,77,77,42,22,34,44,246,0,63,
OG5_126801,37,459,29,13,27,41,111,0,47,
OG5_126809,66,227,37,17,25,47,197,0,24,
OG5_134964,52,61,41,9,17,32,132,0,1,
OG5_127769,52,0,2,0,17,11,18,0,0,
OG5_135164,2,10,1,2,5,0,8,0,0,
OG5_136792,6,97,8,2,2,2,17,0,27,
OG5_128183,80,20,20,19,20,12,124,0,5,
OG5_129514,44,16,31,15,14,34,116,0,6,
OG5_128843,24,0,15,6,27,29,63,0,0,
OG5_128187,61,0,37,20,26,40,147,0,0,
OG5_130261,32,0,36,16,14,36,141,0,0,
OG5_132748,13,30,7,4,8,5,31,0,0,
OG5_128164,38,0,14,10,25,26,80,0,0,
OG5_128536,64,0,26,17,23,38,157,0,0,
OG5_126723,34,534,28,14,34,40,131,0,89,
OG5_126720,71,505,30,22,36,23,169,0,28,
OG5_126979,41,470,41,19,27,46,154,0,73,
OG5_138014,5,4,2,1,2,2,17,0,0,
OG5_128205,35,0,14,9,19,26,108,0,0,
OG5_128208,49,0,20,13,30,31,130,0,0,
OG5_126873,39,161,31,13,32,23,149,0,1,
OG5_127960,22,0,23,12,31,22,110,0,1,
OG5_144267,10,203,5,3,11,9,46,0,19,
OG5_149472,4,0,1,1,0,3,32,0,0,
OG5_128408,58,8,23,10,23,30,130,0,0,
OG5_129082,31,0,17,8,28,30,124,0,0,
OG5_127551,43,0,36,14,31,36,154,0,0,
OG5_126980,28,461,25,20,43,50,180,0,29,
OG5_127007,50,241,17,8,25,17,94,0,40,
OG5_134867,54,0,4,3,11,1,9,0,0,
OG5_134519,34,0,5,12,15,9,5,0,0,
OG5_130597,4,0,4,0,24,13,43,0,0,
OG5_139178,5,32,3,3,7,7,28,0,4,
OG5_131836,25,166,18,4,7,11,62,0,3,
OG5_130165,53,5,37,14,14,28,79,0,0,
OG5_127991,66,214,41,14,31,42,166,0,36,
OG5_128327,45,0,24,7,21,44,136,0,0,
OG5_128631,16,9,10,12,30,26,62,0,1,
OG5_146660,8,6,6,4,5,14,83,0,0,
OG5_127734,47,0,19,19,34,33,110,0,81,
OG5_130761,27,0,19,8,18,5,47,0,0,
OG5_133563,2,6,3,1,1,1,8,0,0,
OG5_126982,59,456,41,13,40,48,184,0,77,
OG5_158705,6,65,8,3,0,18,37,0,8,
OG5_133128,33,1,6,2,9,2,74,0,0,
OG5_130023,17,9,12,6,8,18,36,0,0,
OG5_134749,3,1,0,0,3,0,0,0,0,
OG5_130021,16,0,13,3,21,19,41,0,0,
OG5_143195,7,15,5,1,0,9,46,0,3,
OG5_129019,44,0,20,11,26,27,112,0,0,
OG5_138611,41,0,24,6,1,33,78,0,0,
OG5_129011,29,0,25,8,21,32,75,0,0,
OG5_129014,51,1,35,10,24,37,140,0,0,
OG5_129017,18,0,8,8,17,19,63,0,5,
OG5_130020,29,0,15,11,11,17,69,0,7,
OG5_126970,61,499,34,15,28,37,155,0,92,
OG5_130113,22,0,7,4,20,11,38,0,0,
OG5_130114,20,0,7,1,8,9,65,0,0,
OG5_137728,11,2,3,1,10,3,8,0,0,
OG5_129690,17,0,8,1,7,14,64,0,0,
OG5_130339,23,0,4,5,22,14,44,0,0,
OG5_134850,15,0,8,0,14,24,15,0,0,
OG5_130331,41,0,3,6,17,9,12,0,0,
OG5_134631,11,0,16,2,6,18,26,0,0,
OG5_176377,23,42,14,9,9,7,89,0,5,
OG5_134639,1,5,8,2,1,20,94,0,1,
OG5_137114,3,0,4,1,5,4,9,0,0,
OG5_133055,68,0,24,2,18,10,12,0,0,
OG5_133407,7,0,5,5,5,6,50,0,0,
OG5_137583,2,0,4,3,5,3,33,0,0,
OG5_132892,16,0,2,1,8,3,5,0,0,
OG5_131887,29,87,19,10,17,21,167,0,0,
OG5_131881,17,0,4,9,13,23,42,0,0,
OG5_147155,33,0,15,0,0,18,35,0,0,
OG5_152151,5,0,14,0,5,24,30,0,0,
OG5_137214,53,57,39,9,19,38,135,0,2,
OG5_133004,11,0,5,2,5,16,14,0,0,
OG5_137213,24,0,7,3,6,0,20,0,0,
OG5_142143,2,0,15,5,6,3,79,0,0,
OG5_132040,4,0,20,18,13,9,94,0,0,
OG5_145106,23,0,6,5,3,4,55,0,0,
OG5_145976,24,0,7,7,1,0,24,0,0,
OG5_126574,64,16,34,15,33,51,209,0,0,
OG5_136079,1,219,0,0,0,0,0,0,69,
OG5_126770,19,38,15,8,13,7,37,0,0,
OG5_126774,41,0,31,14,30,33,135,0,0,
OG5_126778,33,232,9,6,17,16,66,0,28,
OG5_133135,5,0,3,1,7,1,4,0,0,
OG5_133640,11,0,1,1,7,0,12,0,0,
OG5_133139,8,0,6,0,8,22,19,0,0,
OG5_138379,13,0,17,1,0,6,55,0,0,
OG5_155671,1,7,0,0,0,0,2,0,0,
OG5_133649,12,0,5,0,11,9,8,0,0,
OG5_142383,5,0,6,0,1,11,10,0,0,
OG5_136183,4,3,16,8,10,6,72,0,1,
OG5_136180,2,0,2,1,2,4,3,0,0,
OG5_136187,8,0,2,1,4,16,4,0,0,
OG5_146501,3,47,3,1,6,0,7,0,2,
OG5_127420,36,0,21,9,26,33,85,0,0,
OG5_127425,35,0,18,15,23,15,98,0,0,
OG5_127429,20,66,11,12,29,17,95,0,93,
OG5_155117,65,1,17,17,15,15,118,0,9,
OG5_156645,10,25,2,0,1,8,11,0,2,
OG5_144431,9,67,0,0,0,7,3,0,0,
OG5_131869,9,131,3,2,15,16,34,0,1,
OG5_132602,2,0,19,12,13,8,106,0,0,
OG5_132604,42,0,17,6,8,9,48,0,0,
OG5_138917,1,0,1,0,3,3,4,0,0,
OG5_132609,14,0,0,0,0,13,1,0,0,
OG5_131863,6,0,5,2,11,13,24,0,0,
OG5_128138,47,0,35,14,30,38,128,0,0,
OG5_133221,8,0,4,3,7,1,17,0,0,
OG5_130819,50,0,16,3,10,21,52,0,0,
OG5_133222,3,0,22,2,6,4,31,0,0,
OG5_127512,37,0,37,15,29,36,164,0,86,
OG5_128750,17,0,11,9,19,11,57,0,0,
OG5_128754,29,0,6,11,29,21,74,0,0,
OG5_132995,12,0,6,0,13,12,10,0,0,
OG5_132996,11,0,8,1,10,6,19,0,0,
OG5_135779,27,0,6,1,6,2,1,0,0,
OG5_135777,36,41,34,8,14,23,135,0,0,
OG5_144541,29,49,13,8,4,13,42,0,0,
OG5_149718,12,140,20,0,0,2,54,0,7,
OG5_133359,10,0,6,3,6,11,47,0,0,
OG5_128628,5,15,4,9,20,21,33,0,0,
OG5_128999,40,0,27,5,28,21,107,0,0,
OG5_128998,41,0,32,10,24,23,139,0,0,
OG5_133355,3,3,0,0,8,0,48,0,0,
OG5_128620,64,33,30,14,19,28,140,0,1,
OG5_158960,4,7,1,3,0,0,0,0,0,
OG5_128577,42,0,14,13,27,13,59,0,0,
OG5_141259,5,1,1,3,0,2,3,0,0,
OG5_129574,44,0,15,11,17,23,81,0,0,
OG5_127286,21,0,29,10,26,33,131,0,0,
OG5_128578,16,87,23,5,9,8,58,0,1,
OG5_127649,32,5,8,11,21,18,63,0,0,
OG5_135140,18,20,3,1,14,0,25,0,0,
OG5_141098,44,0,6,1,3,3,8,0,0,
OG5_127643,47,0,28,12,26,29,94,0,0,
OG5_127285,28,206,14,15,30,37,88,0,70,
OG5_127645,52,93,23,16,20,20,123,0,34,
OG5_132778,2,0,15,10,5,7,53,0,0,
OG5_135172,19,0,6,0,1,15,6,0,0,
OG5_129978,13,336,13,8,7,8,74,0,45,
OG5_129436,8,0,7,4,19,18,30,0,0,
OG5_130934,44,0,26,8,24,17,103,0,0,
OG5_130234,28,0,8,4,23,19,19,0,0,
OG5_129970,5,0,37,24,17,17,155,0,0,
OG5_150225,33,1,7,11,4,25,62,0,0,
OG5_128192,23,37,12,11,16,21,85,0,1,
OG5_128190,19,4,9,12,13,19,95,0,0,
OG5_132172,5,340,4,3,1,17,25,0,11,
OG5_141412,12,23,4,3,2,11,39,0,4,
OG5_132171,1,0,7,8,11,7,37,0,0,
OG5_141417,9,0,4,0,9,2,17,0,0,
OG5_134354,25,0,22,3,10,9,97,0,0,
OG5_129717,19,0,7,0,6,0,16,0,0,
OG5_136988,37,2,29,4,2,28,67,0,1,
OG5_134350,15,16,14,3,7,7,46,0,2,
OG5_129431,36,1,27,2,24,27,95,0,1,
OG5_128379,33,0,11,6,21,27,86,0,0,
OG5_128378,34,0,21,8,24,32,83,0,0,
OG5_135191,1,0,22,3,8,7,11,0,0,
OG5_128375,57,0,36,11,33,39,166,0,0,
OG5_129926,35,0,14,7,25,24,105,0,0,
OG5_129718,1,329,12,0,1,10,29,0,50,
OG5_139404,45,107,7,13,2,5,24,0,1,
OG5_141670,12,0,9,1,3,13,31,0,0,
OG5_141676,20,0,5,3,0,17,41,0,0,
OG5_129085,30,0,28,13,19,35,89,0,0,
OG5_129481,31,0,16,6,26,27,70,0,0,
OG5_128172,49,1,34,11,29,26,128,0,0,
OG5_126903,34,438,19,13,29,26,103,0,3,
OG5_128177,15,0,7,13,29,18,93,0,1,
OG5_134823,35,0,16,10,9,5,45,0,1,
OG5_128828,46,1,31,13,30,33,135,0,0,
OG5_131676,4,0,21,8,13,10,80,0,0,
OG5_131677,61,0,20,8,13,18,9,0,0,
OG5_131679,18,1,12,2,20,15,50,0,0,
OG5_133208,10,0,3,0,9,9,27,0,0,
OG5_131076,14,0,11,3,10,15,41,0,0,
OG5_129375,44,0,21,6,27,22,119,0,0,
OG5_129378,9,209,14,9,10,11,73,0,16,
OG5_129379,6,18,6,6,22,14,20,0,0,
OG5_131078,2,25,14,11,10,7,46,0,0,
OG5_128286,8,5,21,0,10,6,60,0,0,
OG5_128284,33,114,29,19,24,36,158,0,0,
OG5_129159,32,0,26,2,10,18,107,0,0,
OG5_131698,31,55,10,1,12,12,83,0,6,
OG5_129667,43,0,36,6,16,28,137,0,0,
OG5_129623,27,0,19,8,19,26,81,0,0,
OG5_129620,21,0,10,12,21,18,68,0,0,
OG5_139663,45,8,20,7,11,9,82,0,0,
OG5_129155,33,0,25,6,30,30,55,0,0,
OG5_129157,39,3,21,9,28,25,97,0,0,
OG5_129393,10,0,6,4,21,11,18,0,0,
OG5_130586,10,4,9,3,7,10,23,0,0,
OG5_129396,33,0,25,6,22,29,107,0,0,
OG5_129397,17,0,14,5,26,25,62,0,0,
OG5_129394,3,17,14,9,14,7,92,0,0,
OG5_146716,10,0,14,10,1,8,30,0,0,
OG5_129192,64,2,19,8,17,22,133,0,0,
OG5_130615,3,404,2,1,0,0,12,0,73,
OG5_130613,5,1,24,14,13,16,104,0,0,
OG5_128093,43,31,13,14,27,31,105,0,0,
OG5_131217,11,13,25,3,8,4,59,0,0,
OG5_131214,45,0,3,0,9,0,6,0,0,
OG5_131213,3,0,23,11,7,12,87,0,0,
OG5_135201,39,0,17,3,4,6,27,0,0,
OG5_130035,4,0,19,13,12,8,105,0,0,
OG5_130031,15,0,14,6,23,26,71,0,0,
OG5_129213,24,161,18,11,20,17,91,0,69,
OG5_130038,14,0,4,5,21,11,7,0,0,
OG5_129211,52,162,12,11,25,22,110,0,23,
OG5_129026,30,0,24,9,19,21,128,0,0,
OG5_129746,27,63,16,6,16,8,74,0,73,
OG5_129020,21,0,7,3,21,20,50,0,0,
OG5_129023,34,0,21,9,13,28,60,0,0,
OG5_155518,42,70,23,10,16,8,77,0,2,
OG5_131328,15,0,9,3,12,8,23,0,0,
OG5_130102,4,0,10,12,13,15,70,0,1,
OG5_129433,5,0,5,1,0,10,9,0,0,
OG5_130107,15,0,8,4,8,27,19,0,0,
OG5_137730,31,6,17,8,2,20,92,0,0,
